Row Labels,Bangabola,Basankusu,Befale,BIKO-INGE1,BIKO-INGE2,BIKO-MBAN1,BIKO-MBAN2,BIKO-MBAN3,Bikoro,Bili,BING-BUDJ1,Binga,Bobanga,Boende,Bogose-Mubea,Bokungu,Bolenge,Bolomba,Bongaandanga,Bongandanga,Bosobolo,Boto,Budjala,Bulu,Bumba,Busanga,BUSI-GBAD1,Businga,BWAM-GEME1,Bwamanda,Djolu,Djombo,Gbadolite,GEMA-BUSI1,GEME-BUSI1,Gemena,Iboko,Ikela,INGE-BEFA1,INGE-BEFA2,INGE-BOLO1,INGE-DJOL1,Ingende,Karawa,Kungu,Libenge,Lilanga,LISA-BING1,LISA-BUMB1,LISA-BUSI1,LISA-YAMB1,Lisala,Lolo,LOLO-BUMB1,Mbandaka,MBON-YAKO1,Mobayi-Mbongo,Mompono,Mondombe,Monieka,Monkoto,Pimu,Tandala,Wangata,Wema,Yakoma,Yambuku,Zongo,Basankusu air,Binga air,Boende air,Bumba air,Gbadolite air,Gemena air,Ikela air,Libenge air,Lisala air,Mbandanka air,Zongo Boat,Libenge Boat,River Endpoint 1,Bumba Boat,Lisala Boat,Lukolela Boat,Kinshasa Boat,Bikoro Boat,River Endpoint 2,Mbandaka Boat,Basankusu Boat,Bongandanga Boat,Ingende boat,Boende Boat,Bokungu Boat,Ikela Boat
Bosobolo,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.3,1000,1000,6,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,9.6,1000,1000,1000,1000,1000,9.3,1000,1000,12,1000,1000,1000,1000,1000,1000,1000,1000,1000,11.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Boto,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,3.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Budjala,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4.9,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,2.6,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.5,1000,1000,1000,1000,1000,1000,1000,1000,4.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4.2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Bulu,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.3,2.6,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Bumba,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.366666667,1000,1000,1000,1000,0.633333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Busanga,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.9,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,13.2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,7.9,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
BUSI-GBAD1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,9.6,1000,1000,1000,1000,1000,0,0.36,1000,1000,1000,1000,7.4,3.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Businga,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.36,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.6,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
BWAM-GEME1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0.32,1000,1000,1000,1000,1000,3.1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.58,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Bwamanda,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.32,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
